username,country,score,date_written,positive,negative,tags
Rubio,España,9.0,Escrito en 9 de enero de 2026,Lo que más me gustó fue la estética del lugar.,"Realmente me gustó todo, lo que menos la cuna . No obstante, se agradece.","['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Santiago,España,10.0,Escrito en 8 de enero de 2026,El diseño con mucho gusto.,Nada que comentar.,"['•Pareja', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Echandia,España,10.0,Escrito en 8 de enero de 2026,Excelente ubicación. Todo muy bien organizado y excelente atención online,,"['•Viaje de ocio', '•Grupo de amigos', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Brian,España,10.0,Escrito en 5 de enero de 2026,"Muy limpio, cómodo, acogedor.",,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
Karla,España,9.0,Escrito en 3 de enero de 2026,La limpieza,El tamaño,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Ulloa,España,9.0,Escrito en 1 de enero de 2026,Todo nuevo y limpio.,Nada,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches', '•Enviado por móvil']"
Nora,España,10.0,Escrito en 30 de diciembre de 2025,"Nos alojamos con dos niños muy pequeños, y  fue perfecto. Apartamento nuevo y muy limpio, ubicado al lado de muchos bares, supermercado…apreciamos el silencio por la noche no se oía nada. 
Nosotros reservamos una plaza de parking y un acierto ya que al centro ibamos en coche.","El sofá cama, muy incómodo.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento Deluxe', '•Estancia de 3 noches', '•Enviado por móvil']"
Inés,España,10.0,Escrito en 18 de diciembre de 2025,Muy tranquilo y cómodo.,Novtenía escoba ni mantel para comer en la mesa,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 10 noches', '•Enviado por móvil']"
Jose,España,9.0,Escrito en 15 de diciembre de 2025,Mucho,La manera de reservar como éramos seis fue algo tediosa pero todo genial,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 2 noches', '•Enviado por móvil']"
Fernando,España,9.0,Escrito en 14 de diciembre de 2025,Bien ubicado y muy limpio,Un poco apretado el apartamento,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
