hotel,username,country,score,date_written,positive,negative,tags
Vitoria,Cristina,España,9.0,Escrito en 10 de diciembre de 2025,"Ubicación excelente. Muy limpio, la cama muy cómoda.
La cocina pequeña pero tenía de todo, hasta lavavajillas y lavadora
Luminoso",Lo único malo fue que el nórdico del sofá cama era de 90cm cuando la cama era mucho más ancha,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']"
Vitoria,Manuel,España,10.0,Escrito en 8 de diciembre de 2025,Limpieza y decoración,Almohadas,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Vitoria,Jose,España,8.0,Escrito en 8 de diciembre de 2025,"Me gusto, la limpieza, centrico. A 10 minutos ( o menos) del centro historico. Servicios como ( supermercado, cafeterias, restaurantes)  a 1 minuto","El tener que hacer el check-in uno mismo, aunque no me resulto complicado, creo que seria mucho mejor el que habria alguna persona para poder hacerlo .El tener la salida a las 11h, normalmente las salida suele ser entre las 12 y 13 horas, aunque comprendo que hay que realizar limpieza, pero una hora mas estaria muy bien. Y el no tener una consigna o un lugar para poder dejar maletas, bien como servicio del alojamiento o bien de pago.","['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches']"
Vitoria,Elalbarracin,España,7.0,Escrito en 8 de diciembre de 2025,Buena ubicación. Los baños perfectos. Las camas bien. El sofá cama una castaña.,El olor a humo de la habitación. Pero como no hay recepción no puedes protestar a nadie.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 2 noches', '•Enviado por móvil']"
Vitoria,Gemma,España,8.0,Escrito en 7 de diciembre de 2025,"Todo, la ubicación, lo fácil que es acceder y lo bien comunicado que está con todo","Hacía muchísima calor, aunque es diciembre pero en el apartamento hacía mucha calor .. por todo para mi fué perfecto ! Lo único la calefacción demasiado alta","['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Vitoria,Ane,España,9.0,Escrito en 3 de diciembre de 2025,Centrico y acogedor.,"Al ser el octavo piso las ventanas solo se abre en batiente, por lo que pasamos un poco de calor.","['•Viaje de negocios', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 5 noches', '•Enviado por móvil']"
Vitoria,Dolores,España,9.0,Escrito en 2 de diciembre de 2025,"La ubicación, la limpieza y la comodidad del apartamento. Muy fácil y muy rápido contactar con la conserjería 24 horas.",Nada,"['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 3 noches', '•Enviado por móvil']"
Vitoria,Elixabete,España,8.0,Escrito en 2 de diciembre de 2025,,El sofa cama es muy incomodo.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 2 noches', '•Enviado por móvil']"
Vitoria,Sanz,España,7.0,Escrito en 1 de diciembre de 2025,La ubicación,Un poco caro para lo que ofrece.,"['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 5 noches', '•Enviado por móvil']"
Vitoria,Touriño,España,10.0,Escrito en 28 de noviembre de 2025,Nos encantó,Nos gusto todo,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Vitoria,Gloriadp,España,7.0,Escrito en 23 de noviembre de 2025,"El apartamento en general, bien distribuido y con todo lo necesario. Buena ubicación. Personal amable.","El sofá cama era bastante incómodo,","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Vitoria,Arantxa,España,9.0,Escrito en 20 de noviembre de 2025,"Nos hospedamos con nuestra mascota y la sorpresa fue que nos pusieron una camita, y boles para la comida y elagua además de un poco de comida. Todo un detalle. Gracias.",,"['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Vitoria,Maria,España,8.0,Escrito en 16 de noviembre de 2025,"Bien ubicado. Bastante nuevo, la habitación principal cómoda.","Sofá cama incómodo y no dejan ropa de abrigo (mantas, etc) en noviembre. La falta de personal hace perder calidez a la estancia y detalles como poder dejar el coche en el parking un ratito más resulten imposibles.","['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Vitoria,Rocio,España,10.0,Escrito en 16 de noviembre de 2025,"Estaba todo muy limpio, lo cual se agradece muchísimo, pack de bienvenida, más que de agradecer se nota la calidad de la habitación solo entrar. Para nosotros un 10, de echo, volvemos en una dos o tres semanas",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Vitoria,Marisa,España,9.0,Escrito en 15 de noviembre de 2025,"Muy buena ubicación, comodidad y buen trato",La única pega el sofá cama,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 5 noches', '•Enviado por móvil']"
Vitoria,Miriam,España,8.0,Escrito en 9 de noviembre de 2025,"La ubicación, se aparca fácil por la zona. Para ir en familia haces uso de la cocina y lavadora.","No había detergente para la lavadora ni lavavajillas, pedimos y no les quedaba. En 7 días no pasaron a limpiar ninguna vez.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 7 noches', '•Enviado por móvil']"
Vitoria,Vanesa,España,8.0,Escrito en 9 de noviembre de 2025,La ubicación a 10 minutos del centro.,Sofá cama un poco incómodo.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Vitoria,Gema,España,10.0,Escrito en 9 de noviembre de 2025,Excelente,Si,"['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Vitoria,Felipe,España,10.0,Escrito en 8 de noviembre de 2025,Muy confortable y con detalles,La calefacción estaba muy alta,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
Vitoria,Mar,España,8.0,Escrito en 2 de noviembre de 2025,"Me gustó el detalle del regalo ,la caja con snack.",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Vitoria,Maite,España,8.0,Escrito en 31 de octubre de 2025,"Un  bonito apartamento perfecto para visitar Vitoria y los alredederes. Bien situado, y bien equipado. Recepción virtual 24/7 fácil de utilizar.",Hemos echado en falta algo más de menaje en la cocina.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']"
Vitoria,Alexandra,Colombia,10.0,Escrito en 31 de octubre de 2025,Seguridad u comodidad súper impecables ubicación 10/10,,"['•Viaje de negocios', '•Pareja', '•Apartamento de 2 dormitorios', '•Estancia de 3 noches', '•Enviado por móvil']"
Vitoria,Ana,España,10.0,Escrito en 29 de octubre de 2025,Perfectamente dotado para hacer la estancia cómoda,"La hora de check in
Que no hubieras taquillas para equipaje  facilitaría la estancia","['•Viaje de ocio', '•Grupo de amigos', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Vitoria,Carlota,España,10.0,Escrito en 27 de octubre de 2025,"La habitación/apartamento era estupendo, ña ubicación es perfecta y la facilidad de acceso y añadir más servicios muy muy buena.",,"['•Familia con niños pequeños', '•Apartamento Estudio', '•Estancia de 4 noches', '•Enviado por móvil']"
Donosti,Elena,España,8.0,Escrito en 30 de noviembre de 2025,En general todo bien.,Un poco lejos del centro.,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta con 6 camas y baño compartido', '•Estancia de 1 noche', '•Enviado por móvil']"
Donosti,Alba,España,8.0,Escrito en 18 de noviembre de 2025,"Fácil check in, buena localización a 20 min andando por el paseo de la concha al centro
Habitación grande cómoda y bien dividida, no se escuchaba mucho ruido y eso que estaba lleno
Buenas zonas comunes en la planta 1
Nuestra habitación tenía unas vistas chulisimas
Buen servicio de cafetería y buen ambiente","No es fácil encontrar aparcamiento si llevas coche y es zona verde (de pago, aunque la mañana de un sábado son solo 4 € mucho más económico que un parking)","['•Viaje de ocio', '•Grupo', '•Habitación Familiar con baño privado', '•Estancia de 2 noches', '•Enviado por móvil']"
Donosti,Antonio,España,9.0,Escrito en 9 de noviembre de 2025,"Atención del personal
La limpieza",Quizás un poco lejos del centro para ir andando,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta con 6 camas y baño compartido', '•Estancia de 2 noches', '•Enviado por móvil']"
Donosti,Richard,España,7.0,Escrito en 8 de noviembre de 2025,,"A las 05:00 han llegado un grupo haciendo ruido/ bebidos supuestamente. 
Ya no he vuelto a dormir","['•Viaje de negocios', '•Persona que viaja sola', '•Cama en habitación compartida mixta con 6 camas y baño privado', '•Estancia de 1 noche', '•Enviado por móvil']"
Donosti,Ana,Guatemala,8.0,Escrito en 6 de noviembre de 2025,Fue simple y practica la reserva y el check in. Es un lugar ordenado y estructurado.,"Para todo aquel que este pensando reservar en este lugar debe saber que este hostal está ubicado encima de una colina y es cansado llegar y salir. Hay transporte urbano cerca pero igual toca subir o bajar la montaña. Pensé que iba a estar en el área comercial y no es así, alrededor hay apartamentos solamente. Al caminar un par de cuadras ya encuentras comercios pero no alrededor inmediato.","['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta con 6 camas y baño compartido', '•Estancia de 4 noches', '•Enviado por móvil']"
Donosti,Claudia,España,7.0,Escrito en 4 de noviembre de 2025,La relación calidad - precio. Ideal para pasar un par de días entre amigas. A 20 minutos del centro de san Sebastián en autobús. Cómodo y agradable con un desayuno muy bueno relación precio! Recomendable.,"La habitación de 6 era pequeña para dejar maletas, mochilas, etc. y un baño para 6 chicas puede quedarse escaso en ocasiones. El resto todo muy bien!","['•Viaje de ocio', '•Grupo', '•Habitación con baño privado - 6 camas', '•Estancia de 2 noches', '•Enviado por móvil']"
Donosti,Aitor,España,9.0,Escrito en 3 de noviembre de 2025,"Habitacion bien, todo limpio y el personal majo.",Todo fue bien,"['•Viaje de ocio', '•Grupo', '•Habitación con baño privado - 8 camas', '•Estancia de 1 noche']"
Donosti,Juan,España,9.0,Escrito en 28 de octubre de 2025,Facilidades dadas por el personal,,"['•Viaje de ocio', '•Grupo', '•Habitación Familiar con baño privado', '•Estancia de 3 noches', '•Enviado por móvil']"
Donosti,Sánchez,España,8.0,Escrito en 24 de octubre de 2025,El compartir con otros viajeros,,"['•Persona que viaja sola', '•Cama en habitación compartida mixta con 6 camas y baño compartido', '•Estancia de 3 noches', '•Enviado por móvil']"
Donosti,Camila,Chile,7.0,Escrito en 22 de octubre de 2025,"El personal, muy amable",Mal olor de los desagües en los baños. Colchón de espuma se aplastaba hasta que terminadas durmiendo sobre la tabla de la cama,"['•Viaje de ocio', '•Pareja', '•Habitación Doble con baño privado - 2 camas', '•Estancia de 2 noches', '•Enviado por móvil']"
Donosti,Carlos,España,8.0,Escrito en 20 de octubre de 2025,Estaba muy céntrico. La ubicación es buena aunque hay que subir una cuesta grande para llegar.,Camas incómodas y habitación justita.,"['•Viaje de ocio', '•Pareja', '•Habitación Doble con baño privado - 2 camas', '•Estancia de 3 noches', '•Enviado por móvil']"
Donosti,Duron,España,9.0,Escrito en 19 de octubre de 2025,"Ubicación, limpieza, camareros muy bien(Mojar)!!",,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta de 8 camas con baño privado', '•Estancia de 2 noches', '•Enviado por móvil']"
Donosti,Ingold,Uruguay,7.0,Escrito en 17 de octubre de 2025,Buena ubicación. Básicamente p gente joven. Muy amables todos los que trabajan,,"['•Viaje de ocio', '•Pareja', '•Habitación Doble con baño privado - 2 camas', '•Estancia de 1 noche', '•Enviado por móvil']"
Donosti,Mariano,España,8.0,Escrito en 15 de octubre de 2025,Hubicacion,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Habitación Familiar con baño privado', '•Estancia de 1 noche', '•Enviado por móvil']"
Donosti,David,España,9.0,Escrito en 12 de octubre de 2025,Todo,Nada,"['•Pareja', '•Habitación Doble con baño privado - 2 camas', '•Estancia de 1 noche', '•Enviado por móvil']"
Donosti,Ivan,España,8.0,Escrito en 12 de octubre de 2025,Limpieza y buena ubicación. El personal muy amable,,"['•Viaje de ocio', '•Pareja', '•Habitación Doble con baño privado - 2 camas', '•Estancia de 1 noche', '•Enviado por móvil']"
Donosti,Elena,España,9.0,Escrito en 10 de octubre de 2025,,Me gustaría que la camas tuvieran cortinas para más intimidad,"['•Viaje de negocios', '•Persona que viaja sola', '•Cama en habitación compartida mixta con 6 camas y baño privado', '•Estancia de 1 noche', '•Enviado por móvil']"
Donosti,Luz,Colombia,9.0,Escrito en 10 de octubre de 2025,"La comodidad, el silencio y la vista",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Habitación Familiar con baño privado', '•Estancia de 1 noche', '•Enviado por móvil']"
Donosti,Ruiz,España,9.0,Escrito en 2 de octubre de 2025,La atención del personal a cargo... Profesionales responsables,La ubicación física algo lejana,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta con 6 camas y baño compartido', '•Estancia de 2 noches', '•Enviado por móvil']"
Donosti,Daniela,Chile,8.0,Escrito en 27 de septiembre de 2025,"La limpieza, el espacio y el orden del hostel. Los baños siempre limpios.","Que la cama tuviese un poco más de privacidad, de manera que no moleste la luz al entrar o salir los compañeros. El pequeño bloqueo de madera no es suficiente. Sugiero incluir cortinas pequeñas.","['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta con 6 camas y baño compartido', '•Estancia de 3 noches']"
Donosti,Gomariz,España,9.0,Escrito en 23 de septiembre de 2025,Todo genial y los chicos de recepcion (sofia) y cocina (el rubio) excelentes,La habitación igual es algo estrecha para poder manipular las maletas,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta con 6 camas y baño compartido', '•Estancia de 2 noches', '•Enviado por móvil']"
Donosti,Carmen,España,8.0,Escrito en 22 de septiembre de 2025,Su ubicación y funcionalidad,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Habitación Familiar con baño privado', '•Estancia de 2 noches', '•Enviado por móvil']"
Donosti,Lorena,España,9.0,Escrito en 12 de septiembre de 2025,"Fue una estancia super breve pero pudimos descansar muy bien. No se escuchan muchos ruidos a pesar de ser un hostel. Camas cómodas, baños muy limpios y personal amable. Nos guardaron todo el equipaje durante el día de salida.",Aparcamiento complicado. Precio elevado para lo que es... Pero Donosti tiene eso.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Habitación Doble con baño privado - 2 camas', '•Estancia de 1 noche']"
Donosti,Ilie,España,8.0,Escrito en 10 de septiembre de 2025,El personal,Todo bien,"['•Persona que viaja sola', '•Cama en habitación compartida mixta de 8 camas con baño privado', '•Estancia de 1 noche', '•Enviado por móvil']"
BilbaoMuseo,B,España,9.0,Escrito en 5 de diciembre de 2025,Ubicación,Terrible el extremo ambientador en la planta baja . Subes a la habitación mareado . Por demás. Acabé con osmofobia y cefalea .,"['•Viaje de negocios', '•Grupo', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
BilbaoMuseo,Els,España,7.0,Escrito en 10 de noviembre de 2025,Diseño y emplazamiento.,"Sofa cama muy incómodo, hundido y con ruido de muelles con cada movimiento. Las habitaciones no tienen paredes, solo separación de ambiente con listones de madera en un espacio diáfano con el sala-cocina.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
BilbaoMuseo,Alvaro,España,8.0,Escrito en 25 de octubre de 2025,La terraza,Q no tenía cama era sofá cama,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
BilbaoMuseo,Her,Argentina,9.0,Escrito en 19 de octubre de 2025,"Super moderno, muy bien ubicado, en frente del museo. Amplio departamento, hermoso","La atención dejo mucho que desear, sobre todo porque no se le discute al huésped cuando no hay nada que discutir. Uno se puede equivocar, se piden disculpas y listo, pero echarle la culpa al huésped de la propia torpeza no va.  Pedí parking tres veces. Me lo cobraron y todo. Cuando llegue, me dijeron que ""creyeron que no lo quería"" porque un dia antes ""pedi indicaciones para el parking pero claramente nunca confirme que lo quería. O sea, pido parking, me lo cobran, pido indicaciones de como ir, en eso me piden que pase la placa que no llegue a leer, y como no la pase horas antes ""creyeron que no quería el parking y solo quería la dirección del mismo para ir a que...?","['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
BilbaoMuseo,Sergio,España,9.0,Escrito en 14 de octubre de 2025,Las vistas increíbles,,"['•Viaje de negocios', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
BilbaoMuseo,Rocío,España,9.0,Escrito en 9 de septiembre de 2025,Ubicación,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
