username,country,score,date_written,positive,negative,tags
Carmen,España,10.0,Escrito en 14 de diciembre de 2025,"Muy cómodo y limpio. Todo muy bien organizado. Detalle de bienvenida. 
Desayuno en un horno cafetería cercano.",,"['•Pareja', '•Estudio Familiar', '•Estancia de 1 noche', '•Enviado por móvil']"
Alejandro,España,8.0,Escrito en 9 de diciembre de 2025,"El personal muy amable, se bloqueó la puerta por un descuido y llamamos por teléfono y lo solucionaron al momento.","La tapa del baño no se mantenía arriba, necesitaba un ajuste. Pero todo estaba perfecto.","['•Viaje de ocio', '•Pareja', '•Estudio Familiar', '•Estancia de 1 noche', '•Enviado por móvil']"
Jose,España,10.0,Escrito en 5 de diciembre de 2025,La ubicación.,,"['•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 3 noches', '•Enviado por móvil']"
Ana,España,8.0,Escrito en 3 de diciembre de 2025,La amplitud y la buena comunicación con los sitios a los que teníamos que ir.,,"['•Viaje de ocio', '•Grupo de amigos', '•Apartamento de 2 dormitorios', '•Estancia de 2 noches', '•Enviado por móvil']"
Jairo,España,8.0,Escrito en 28 de noviembre de 2025,Era bastante amplio,El no tener una recepción personal,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
Silvia,España,8.0,Escrito en 12 de noviembre de 2025,La ubicación y la facilidad para acceder,Ruidoso por ser planta baja con ventana a la calle,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio Familiar', '•Estancia de 2 noches', '•Enviado por móvil']"
Isabel,España,10.0,Escrito en 29 de octubre de 2025,"Genial el piso, super espacioso. Tienes varias tiendas al lado, paradas de autobuses y la catedral a unos 15 minutos andando.",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 2 noches', '•Enviado por móvil']"
Sylvia,Chile,9.0,Escrito en 29 de septiembre de 2025,"La limpieza 
Es muy confortable",Un poco lejos del centro,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 2 noches', '•Enviado por móvil']"
Claudia,España,10.0,Escrito en 28 de septiembre de 2025,Regalo de. Bienvenida y detalles para la mascota plato bocaditos cama,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio con terraza', '•Estancia de 2 noches', '•Enviado por móvil']"
Jesús,España,7.0,Escrito en 22 de septiembre de 2025,,"En un apartamento para 6 personas hay, en el salón, una mesa con 4 sillas y un sofá de 2 plazas (o 3 muy apretados). El inmueble, escalera, está deteriorado.Mucho jaleo nocturno en los apartamentos contiguos.","['•Viaje de ocio', '•Grupo', '•Apartamento de 3 dormitorios con terraza', '•Estancia de 2 noches']"
