username,country,score,date_written,positive,negative,tags
Montero,España,7.0,Escrito en 12 de diciembre de 2025,"Lo que mas me gustó fue la ubicación ya que no estabas en pleno centro, pero muy cerquita para llegar andando.","No me gustó pagar un precio de 4 personas por un apartamento, y que tengan un sofá cama, que menos mal que íbamos personas jóvenes, porque sino, es imposible dormir ahí, por lo incómodo que era. Y tampoco me gustó el parking, ya que es un añadido a la reserva, no es barato a mi parecer, y el primer día que llegamos un poco mas tarde, nos las vimos y nos las deseamos para poder aparcar.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']"
Gómez,España,7.0,Escrito en 11 de diciembre de 2025,,"En mi reserva pone escritorio, y no tuve, viajo por trabajo y era una necesidad, tuve que trabajar en la encimera de la isla de la cocina con sillas altas sin respaldo y he acabado con dolor de espalda.Tampoco había tostadora. Compre algo de pan para tostar y no lo pude hacer en la tostadora.","['•Viaje de negocios', '•Persona que viaja sola', '•Apartamento Estudio', '•Estancia de 2 noches']"
Cristina,España,9.0,Escrito en 10 de diciembre de 2025,"Ubicación excelente. Muy limpio, la cama muy cómoda.
La cocina pequeña pero tenía de todo, hasta lavavajillas y lavadora
Luminoso",Lo único malo fue que el nórdico del sofá cama era de 90cm cuando la cama era mucho más ancha,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']"
Manuel,España,10.0,Escrito en 8 de diciembre de 2025,Limpieza y decoración,Almohadas,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Jose,España,8.0,Escrito en 8 de diciembre de 2025,"Me gusto, la limpieza, centrico. A 10 minutos ( o menos) del centro historico. Servicios como ( supermercado, cafeterias, restaurantes)  a 1 minuto","El tener que hacer el check-in uno mismo, aunque no me resulto complicado, creo que seria mucho mejor el que habria alguna persona para poder hacerlo .El tener la salida a las 11h, normalmente las salida suele ser entre las 12 y 13 horas, aunque comprendo que hay que realizar limpieza, pero una hora mas estaria muy bien. Y el no tener una consigna o un lugar para poder dejar maletas, bien como servicio del alojamiento o bien de pago.","['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches']"
Elalbarracin,España,7.0,Escrito en 8 de diciembre de 2025,Buena ubicación. Los baños perfectos. Las camas bien. El sofá cama una castaña.,El olor a humo de la habitación. Pero como no hay recepción no puedes protestar a nadie.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 2 noches', '•Enviado por móvil']"
Gemma,España,8.0,Escrito en 7 de diciembre de 2025,"Todo, la ubicación, lo fácil que es acceder y lo bien comunicado que está con todo","Hacía muchísima calor, aunque es diciembre pero en el apartamento hacía mucha calor .. por todo para mi fué perfecto ! Lo único la calefacción demasiado alta","['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Ane,España,9.0,Escrito en 3 de diciembre de 2025,Centrico y acogedor.,"Al ser el octavo piso las ventanas solo se abre en batiente, por lo que pasamos un poco de calor.","['•Viaje de negocios', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 5 noches', '•Enviado por móvil']"
Dolores,España,9.0,Escrito en 2 de diciembre de 2025,"La ubicación, la limpieza y la comodidad del apartamento. Muy fácil y muy rápido contactar con la conserjería 24 horas.",Nada,"['•Viaje de ocio', '•Pareja', '•Apartamento Estudio', '•Estancia de 3 noches', '•Enviado por móvil']"
Elixabete,España,8.0,Escrito en 2 de diciembre de 2025,,El sofa cama es muy incomodo.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 2 noches', '•Enviado por móvil']"
