username,country,score,date_written,positive,negative,tags
Daniel,España,10.0,Escrito en 11 de diciembre de 2025,"Cómodo, limpio, las vistas a plaza hermosas. Muy bien ubicado. Me gustó mucho.","El código no servía cuando llegué, pero me atendieron muy rápido por llamada y me ayudaron. El TV no es smart TV","['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio con balcón', '•Estancia de 2 noches', '•Enviado por móvil']"
Pac01969,España,10.0,Escrito en 9 de diciembre de 2025,"Muy bien, la cafetería nos trato muy bien y la tostada eran grandes.",No hubo nada.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento con terraza', '•Estancia de 3 noches']"
Soledad,España,9.0,Escrito en 30 de noviembre de 2025,"Me encantó la ubicación, la limpieza y que dispone de todo lo necesario para la estancia. El sitio es precioso y justo debajo está la plaza Bibrambla, llena de bares , restaurantes, tiendas... a pesar de estar tan céntrico nada de ruido en El apartamento.  Todo genial.",No me gustó mucho que cuando abres el sofá cama no queda espacio para pasar. Es la única pega que Le pongo. Lo demás de lujo.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio con balcón', '•Estancia de 1 noche', '•Enviado por móvil']"
Alessio,España,10.0,Escrito en 15 de noviembre de 2025,Genial tanto el piso como la ubicación. Todo muy bien.,No había sartenes ni ollas para cocinar.,"['•Viaje de ocio', '•Pareja', '•Estudio con balcón', '•Estancia de 2 noches', '•Enviado por móvil']"
Montse,España,9.0,Escrito en 25 de octubre de 2025,"La localización, la limpieza. Para dos personas es ideal.","Quizás eché de menos una persona con la que hablar físicamente, pero es verdad que al no surgir ningún contratiempo no fue necesario, quizás es solo que soy antigua.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio con balcón', '•Estancia de 3 noches', '•Enviado por móvil']"
M,España,8.0,Escrito en 23 de octubre de 2025,El detalle de bienvenida y la limpieza,"El descargar una aplicación para poder hacerlo, meter los DNI y datos varias veces","['•Viaje de ocio', '•Grupo', '•Estudio con balcón', '•Estancia de 1 noche', '•Enviado por móvil']"
Maria,Argentina,10.0,Escrito en 22 de octubre de 2025,Excelente,Algo ruidoso,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio con balcón', '•Estancia de 2 noches', '•Enviado por móvil']"
Sergio,Argentina,10.0,Escrito en 13 de octubre de 2025,"Muy bien ubicado, en el corazón de las peatonales, seguro y asi mismo silencioso. Pudimos hacer caminando casi todo",,"['•Viaje de ocio', '•Pareja', '•Estudio con balcón', '•Estancia de 3 noches']"
Labella,Argentina,8.0,Escrito en 11 de octubre de 2025,"La ubicación, ñas dimensiones e instalaciones son excelentes","Al estar en pleno centro histórico de Granada, se escucha bastante el bullicio de la gente, esto dificulta el tiempo de descanzo","['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio con balcón', '•Estancia de 3 noches', '•Enviado por móvil']"
Elena,España,10.0,Escrito en 29 de septiembre de 2025,Es un apartamento precioso y súper limpio.,,"['•Viaje de ocio', '•Pareja', '•Estudio con balcón', '•Estancia de 1 noche', '•Enviado por móvil']"
Nelson,Argentina,10.0,Escrito en 23 de septiembre de 2025,"La verdad que muy buena la ubicación , céntrica y accesible a todo los lugares turísticos de Granada. El piso muy moderno y con todo lo q  senecesita para estar unos días en Granada.","No tengo nada de negativo , al contrario , súper positivo en todo.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio con balcón', '•Estancia de 2 noches', '•Enviado por móvil']"
Maria,España,10.0,Escrito en 20 de septiembre de 2025,"Todo me gustó. La ubicación, el apartamento, la atencion",Todo me gustó,"['•Viaje de ocio', '•Pareja', '•Estudio con balcón', '•Estancia de 1 noche', '•Enviado por móvil']"
Adrian,España,9.0,Escrito en 14 de septiembre de 2025,"La ubicación muy céntrica para poder moverte caminando a cualquier lado del centro y de servicios como restaurantes etc.Todo muy renovado y como de nueva construcción.Cocina con lo necesario para poder cocinar.Muy buena limpieza.","Tanto el edificio como el apartamento demasiado pequeño con tal de aprovechar el espacio.No puedes dejar las maletas en ningún lugar, teniendo que buscar una consigna.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio con balcón', '•Estancia de 1 noche']"
Jessica,España,10.0,Escrito en 9 de septiembre de 2025,Me encantó la comodidad y sobretodo la terraza me encantó,Que el aire acondicionado de fuera hace ruido y no llega a enfriar del todo.,"['•Viaje de ocio', '•Pareja', '•Apartamento con terraza', '•Estancia de 2 noches', '•Enviado por móvil']"
Annabel,España,8.0,Escrito en 2 de septiembre de 2025,"La ubicación es muy buena, la entrada y la salida muy cómodas y fáciles. Todo muy nuevo y muy limpio. Lo recomiendo para una o dos personas.","Para 4 personas es un poco justo, al abrir el sofá cama se corta el paso a la habitación y había que hacer malabarismos para pasar.","['•Con una mascota', '•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio con balcón', '•Estancia de 1 noche']"
Virtudes,España,8.0,Escrito en 27 de agosto de 2025,"Ubicación inmejorable, en pleno centro, al lado de la Catedral y a 12 minutos caminando de El Albaicín.
También un parking público próximo.
Limpísimo, un olor super agradable, todo nuevo, detalles cuidados al máximo, como la colocación de toallas, secador del pelo con difusor.
Silencioso.
La única objeción que las habitaciones eran muy pequeñas y con el sofá cama abierto tenías que hacer malabares para pasar.
También considero como punto negativo la distribución, ya que el para acceder al baño desde el dormitorio tienes que cruzar la Sala de estar con el Sofá cama y molestas a quien está durmiendo.
Por último, el mando a distancia del aire acondicionado del dormitorio no funcionaba, teníamos que compartir el mando de la otra Sala.
Se agradece la caja de bienvenida con agua snacks y demás detalles.
Repetiría pero en un apartamento más amplio, por lo demás perfecto.","El tamaño pequeño de las habitaciones, la distribución y que no funcionase el mando a distancia del aire acondicionado.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio con balcón', '•Estancia de 1 noche', '•Enviado por móvil']"
Nicolas,España,9.0,Escrito en 23 de agosto de 2025,La ubicación,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio con balcón', '•Estancia de 1 noche', '•Enviado por móvil']"
Inma,España,8.0,Escrito en 20 de agosto de 2025,Su ubicación y la limpieza,Había goteras,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio con balcón', '•Estancia de 1 noche', '•Enviado por móvil']"
Sheila,España,8.0,Escrito en 12 de agosto de 2025,"Admite mascotas, buena ubicación,cómodo y limpio.",Que la mascota no pueda quedar sola en la habitación.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio con balcón', '•Estancia de 1 noche', '•Enviado por móvil']"
Alba,España,8.0,Escrito en 8 de agosto de 2025,"El alojamiento estupendo, bien situado y limpio",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio con balcón', '•Estancia de 2 noches', '•Enviado por móvil']"
Maitecita,España,9.0,Escrito en 2 de agosto de 2025,"La ubicación, cerca de todo y cómodo para moverse a cualquier sitio. Los detalles y amenitis para nosotros y nuestra mascota","Viaje con una mascota y me pareció excesivo el precio por día, en la inmensa mayoría de los sitios donde hemos ido, se pagaba menos de la mitad.","['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio con balcón', '•Estancia de 2 noches', '•Enviado por móvil']"
Berto,España,9.0,Escrito en 1 de agosto de 2025,"Bien situado,en mismo centro",Todo bien,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio con balcón', '•Estancia de 1 noche', '•Enviado por móvil']"
Cristhian,España,10.0,Escrito en 31 de julio de 2025,"Está muy bien situado,cerca de tiendas,restaurantes,etc",,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio con balcón', '•Estancia de 4 noches', '•Enviado por móvil']"
Jhon,España,10.0,Escrito en 31 de julio de 2025,Nos a gustado todo.,La almohada un poco bajas.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio con balcón', '•Estancia de 1 noche', '•Enviado por móvil']"
Lirios,España,10.0,Escrito en 11 de julio de 2024,"Atención al cliente inmejorable. Viajábamos con perritos y fueron súper atentos con sus camitas, bebederos y comederos. Apartamento completo y equipado. Ubicación inmejorable.",,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio con balcón', '•Estancia de 1 noche', '•Enviado por móvil']"
Lirios,España,10.0,Escrito en 11 de julio de 2024,"Atención al cliente inmejorable. Viajábamos con perritos y fueron súper atentos con sus camitas, bebederos y comederos. Apartamento completo y equipado. Ubicación inmejorable.",,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio con balcón', '•Estancia de 1 noche', '•Enviado por móvil']"
Alejandra,España,10.0,Escrito en 11 de julio de 2024,"Ubicación excelente, apartamentos hermosos y un servicio al cliente muy rápido!",,"['•Viaje de ocio', '•Grupo', '•Apartamento con terraza', '•Estancia de 1 noche', '•Enviado por móvil']"
Isabel,España,9.0,Escrito en 7 de julio de 2024,"Ubicación muy buena, cómodo, opción de late check out. Muy limpio y con detalle de bienvenida","Mucho ruido, aunque te dan tapones","['•Viaje de ocio', '•Pareja', '•Estudio con balcón', '•Estancia de 1 noche', '•Enviado por móvil']"
Rafael,Colombia,10.0,Escrito en 30 de junio de 2024,"La ubicación excelente y el apartamento con todo como nuevo y muy bien tenido. Limpieza full
Definitivamente volvere",La cama del sofa cama es buena pero un poco más rígida sería mejor,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio con balcón', '•Estancia de 1 noche', '•Enviado por móvil']"
María,España,10.0,Escrito en 26 de junio de 2024,"Amplio, moderno, luminoso, las vistas des de la terraza, es un apartamento bonito con todo lo necesario para pasar una buena estancia. La ubicación es muy buena, cerca de la catedral y restaurantes.",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento con terraza', '•Estancia de 1 noche', '•Enviado por móvil']"
Solaz,España,10.0,Escrito en 24 de junio de 2024,"Todo ha estado muy bien en general, sobre todo la ubicación",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio con balcón', '•Estancia de 1 noche', '•Enviado por móvil']"
Sara,España,9.0,Escrito en 20 de junio de 2024,"Alojamiento muy bien situado para conocer Granada, en pleno centro, muy limpio con fácil check-in, check-out. Se peude llegar andando a casi todos los lugares de la ciudad. Si volvemos, repetiríamos.",-,"['•Viaje de ocio', '•Pareja', '•Estudio con balcón', '•Estancia de 3 noches']"
María,España,9.0,Escrito en 16 de junio de 2024,"Súper bien situado, muy cómodo y limpio.un apartamento ideal.","Los q durmieron en el sofá cama pasaron frío solo con la sábana. No había ni una colcha, mantita ni nada para echarse. Mi hija se tuvo q tapar con una toalla. Había algo debajo de la cama del dormitorio, pero estaba candado😳","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio con balcón', '•Estancia de 1 noche', '•Enviado por móvil']"
