username,country,score,date_written,positive,negative,tags
Jaime,España,9.0,Escrito en 11 de diciembre de 2025,"El apartamento estaba muy limpio y nuevo. Se encuentra en buena zona, cerca del centro.",No hay zona gratuita para aparcar cerca pero no sale muy caro el estacionamiento.,"['•Viaje de ocio', '•Grupo', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche']"
Anna,España,9.0,Escrito en 19 de noviembre de 2025,"La ubicación es perfecta, estabamoa a 10 minutos andando del centro del casco viejo de Bilbao y al igual del rio Nervion, una maravilla.
Dentro del estudio fue todo perfecto, esta bien equipado para cocinar, lavar... sin necesidad de moverse del estudio",,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 5 noches', '•Enviado por móvil']"
Lorena,España,8.0,Escrito en 27 de octubre de 2025,Estaba muy limpio todo y nuevas las instalaciones. Fuimos 6 personas y la perrita y el apartamento era amplio.,"El sofá cama muy incómodo. Y se fue la luz unas cuantas veces por la tarde noche al igual que a los vecinos de al lado. 
Además no nos dejaron papel higiénico en ningún baño, por lo demás bien estaba muy limpio y cuidado todo.","['•Viaje de ocio', '•Grupo', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
Maria,España,7.0,Escrito en 5 de octubre de 2025,"Muy buena ubicación y servicios, muy limpio , todo muy completo , el sofá cama no es cómodo , las camas de las habitaciones muy bien",Sofá cama no es cómodo para dormir,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
Cristina,España,8.0,Escrito en 25 de agosto de 2025,Es cómodo y muy limpio.,"Para llegar con maletas andando, la zona está en cuesta. Pero el apartamento tiene ascensor y es cómodo.","['•Viaje de ocio', '•Grupo de amigos', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
Alberto,España,9.0,Escrito en 13 de agosto de 2025,"Limpio,bien aprovechado el espacio y bien ubicado",Al ser un estudio se quedaba un poco pequeño para dos personas y una mascota.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
M,España,8.0,Escrito en 20 de julio de 2025,"Tiene un par de supermercados alrededor, en pocos minutos a pie tienes el Mercado de la Ribera y el casco viejo, y también al otro lado el Bilbao Arena.",El sofá cama es horrible como sofá. Como cama no lo probamos. Está en el borde de una zona un poco regular con mucha inmigración.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 6 noches', '•Enviado por móvil']"
Isabel,España,7.0,Escrito en 14 de julio de 2025,"Apartamento limpio y cerca del centro,bien equipado","El sofá cama era horrible, imposible dormir en él. La localización es buena pero no el barrio en el q se encuentra. Vimos una pelea con barra de metal, gritos, vecinos tirando basura a la calle.....hay q tener cuidado por la zona","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 4 noches', '•Enviado por móvil']"
Marta,España,7.0,Escrito en 29 de junio de 2025,,El sofá-cama es un poco incómodo,"['•Viaje de ocio', '•Grupo de amigos', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
Alejandro,España,9.0,Escrito en 24 de junio de 2025,Todo correcto buena ubicación,Lo complicado de aparcar si vienes con coche,"['•Familia con niños pequeños', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
