username,country,score,date_written,positive,negative,tags
Diaz,España,8.0,Escrito en 14 de diciembre de 2025,La situación y la comodidad del apartamento,"Una consigna casi minuscula, que hace casi imposible dejar el equipaje, en una ciudad como Madrid eso es casi vital.
La colocacion del desayuno durante el fin de semana se retraso casi 30 minutos... obligandonos a cambiar el itinerario de algunas actividades.","['•Familia con niños pequeños', '•Estudio', '•Estancia de 3 noches', '•Enviado por móvil']"
Naiara,España,9.0,Escrito en 9 de diciembre de 2025,"La ubicacion lo mejor y el acceso a lugares para visitar pudiendo hacerlo a pie o en metro,cerca hay muchas estaciones","Lo unico que destacaria fue que al ser un espacio tan diafano,sin separaciòn ninguna si alguno se despierta por la noche y enciende una luz iluminas toda la estancia,nosotros viajamos con nuestras hijas que dormian abajo,pero daba igual la luz del baño de arriba o las mesillas daban luz a todo el apartamento y para nosotros ha resultado un poco molesto junto con el ruido de la calle por la noche,que aun estando en 2 planta se oia mucho,aun asi estuvimos bien,el apartamento muy limpio y espacioso,todo hay que decirlo h la chica que atendia el buffet del desayuno un 10","['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio Deluxe', '•Estancia de 3 noches', '•Enviado por móvil']"
Marcos,España,8.0,Escrito en 8 de diciembre de 2025,La ubicación,Precio elevado,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio Deluxe', '•Estancia de 3 noches', '•Enviado por móvil']"
Marcos,España,9.0,Escrito en 24 de noviembre de 2025,Ubicación,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio Deluxe', '•Estancia de 2 noches', '•Enviado por móvil']"
Ml,España,9.0,Escrito en 31 de octubre de 2025,"La ubicación es excelente. El desayuno es muy completo. Destaco el trato del personal especialmente de quien estuvo a cargo de los desayunos. Su trato ha sido impecable, muy cordial y siempre atenta.","Lamentablemente me ha tocado trabajar los 3 días y solo diría que al ser un dúplex y tener los techos altos en el salón, me ha parecido que faltaba un poco de luz para poder trabajar.","['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio Deluxe', '•Estancia de 3 noches', '•Enviado por móvil']"
Javier,Venezuela,8.0,Escrito en 23 de octubre de 2025,Excelente y céntrico,El ruido del portón principal,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio Deluxe', '•Estancia de 1 noche', '•Enviado por móvil']"
Hugo,Chile,9.0,Escrito en 22 de octubre de 2025,"Alojamiento limpio y amplio, con cafetera (se agradece).","Todo bien. Solo diría que no pude usar la app para abrir la puerta del departamento con el teléfono (solo me funcionó para la puerta principal del edificio a la calle), pero el resto todo muy bien.","['•Viaje de ocio', '•Persona que viaja sola', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
Samuel,España,9.0,Escrito en 6 de octubre de 2025,La localización y amplitud del apartamento,"Los aires acondicionados se encendían automáticamente por las tardes,a 16 grados frío,y cd llegábamos por las noches el apartamento estaba helado.
Está muy cerca de discotecas con lo que es una zona muy ruidosa,el propio apartamento como conoce ese problema te regala unos tapones para el ruido.","['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio Deluxe', '•Estancia de 3 noches', '•Enviado por móvil']"
Javier,España,9.0,Escrito en 21 de septiembre de 2025,Localización.,Sofá cama un poco incómodo,"['•Familia con niños pequeños', '•Estudio Dúplex', '•Estancia de 1 noche', '•Enviado por móvil']"
Javier,Venezuela,8.0,Escrito en 17 de septiembre de 2025,La ubicación en el centro de madrid,La puerta principal muy ruidosa para las habitaciones cercanas,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio Deluxe', '•Estancia de 11 noches', '•Enviado por móvil']"
Ablgm,España,7.0,Escrito en 8 de septiembre de 2025,"Ubicación
Limpieza
Amplitud 
Atención personal desayuno","Al ser un edificio de apartamentos no hay persona (excepto en desayunos),  con lo que si tienes una necesidad, la atención es por WhatsApp y en nuestro caso no se llegó a atender.
Escalera del ""dúplex"" no aptas para personas mayores. No fue nuestro caso, pero algo peligrosas.","['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio Deluxe', '•Estancia de 2 noches', '•Enviado por móvil']"
Jerónimo,Argentina,8.0,Escrito en 30 de agosto de 2025,"Muy bien ubicado, cómodo y limpio.","Le falta más ventilación, luz y la televisión no tenía Netflix.","['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
