username,country,score,date_written,positive,negative,tags
Claudia,España,8.0,Escrito en 14 de diciembre de 2025,La limpieza.,El colchón del sofá cama y que no había jabón en la ducha,"['•Viaje de ocio', '•Grupo de amigos', '•Apartamento de 2 dormitorios con balcón', '•Estancia de 1 noche', '•Enviado por móvil']"
Juanjo62,España,9.0,Escrito en 4 de diciembre de 2025,"La ubicación, la cama y la limpieza",,"['•Pareja', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Fuentes,España,8.0,Escrito en 4 de noviembre de 2025,Todo muy bien,Para aparcar está bastante mal y los parking cercanos son muy caros,"['•Viaje de ocio', '•Persona que viaja sola', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Karla,México,8.0,Escrito en 20 de octubre de 2025,La decoración,,"['•Viaje de ocio', '•Grupo', '•Apartamento de 2 dormitorios con terraza', '•Estancia de 1 noche', '•Enviado por móvil']"
María,España,8.0,Escrito en 9 de octubre de 2025,la ubicación me encantó,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche']"
Genoveva,España,9.0,Escrito en 25 de septiembre de 2025,"Situación buena,cerca del centro tanto andando como en autobús.El apartamento fenomenal.","No me gusta tener que hacer todo tan impersonal(entrada y salida),solo a través de una pantalla.","['•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Nuria,España,8.0,Escrito en 24 de septiembre de 2025,"El alojamiento está muy bien en general, cómodo, con buena ubicación. 
Esta última vez que nos hemos quedado nos dieron un kit de bienvenida con cosas básicas como estropajo, balletas  y cosas de limpieza que se agradecen, ya que cogemos un apartamento.","Había algunos bichitos, pero supongo por la estación del año. 
El sofá si está algo sucio.","['•Pareja', '•Apartamento de 1 dormitorio con terraza', '•Estancia de 2 noches', '•Enviado por móvil']"
Victoria,España,8.0,Escrito en 19 de septiembre de 2025,Que es pet friendly,,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Carmen,España,8.0,Escrito en 9 de septiembre de 2025,"Salón/Cocina
Colchon",,"['•Viaje de ocio', '•Grupo de amigos', '•Apartamento de 2 dormitorios con balcón', '•Estancia de 2 noches', '•Enviado por móvil']"
Sol,España,7.0,Escrito en 28 de agosto de 2025,La ubicación,"El aire acondicionado estaba sucio por dentro, tenia moho, al menos por la noche pasamos hasta frio teniendo todo cerrado. 
Se escuchaba mucho el ruido de una habitación a otra
En la habitación habia varias moscas pequeñas y las mesitas de noche estaban sucias. 
Pero el resto bien","['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
Maria,España,9.0,Escrito en 13 de agosto de 2025,Esta muy bien situado y fue una estancia muy agradable.,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios con balcón', '•Estancia de 1 noche', '•Enviado por móvil']"
Ignacio,Venezuela,9.0,Escrito en 31 de julio de 2025,Estaba limpio y estaba bien equipado con respecto a lencería de cuartos y baños y equipos de cocina,El sofá cama era un poco incómodo porque se hundía.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios con terraza', '•Estancia de 1 noche', '•Enviado por móvil']"
Iris,España,8.0,Escrito en 20 de julio de 2025,La llegada autónoma es fácil y respondieron rápido,El sofá cama para dos personas es incómodo,"['•Viaje de ocio', '•Grupo', '•Apartamento de 2 dormitorios con terraza', '•Estancia de 1 noche', '•Enviado por móvil']"
Gertrudis,Italia,9.0,Escrito en 20 de julio de 2025,"La atención del personal, la limpieza y el regalo de agua, café y snack de bienvenida.No llegué a utilizar la ocina, porque la estancia fue muy corta, pero estaba muy completa y limpia. El colchón perfecto también. Hay un alquiler de bicicletas cerca. (Viajo muchísimo y llevo sin dar una puntuación tan alta desde hace siglos...).","Los alrededores: el personal de las cafeterías cercanas fue muy antipático, al final fui a comprar un refresco y desayuno al supermercado cercano. No recomiendo ir con coche, yo fui en taxi.","['•Viaje de ocio', '•Persona que viaja sola', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Pablo,España,8.0,Escrito en 3 de julio de 2025,"El desayuno normalito en un bar cercano.No fué lo mejor del mundo..La ubicación está bastante bien. Hay una parada de autobus cerca de la puerta","la posibilidad de entrar antes de la hora,que no estaba disponible...","['•Viaje de ocio', '•Grupo', '•Apartamento de 2 dormitorios con terraza', '•Estancia de 1 noche']"
Alicia,España,7.0,Escrito en 27 de junio de 2025,Limpieza,"Ruidoso. El personal del apartamento recoge la ropa sucia a las 12 de la noche arrastrando  unos carros que hacen  un ruido espantoso. Nos despertaron todas las nochesEl colchon  no era muy comodo.","['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 4 noches', '•Enviado por móvil']"
