username,country,score,date_written,positive,negative,tags
Jose,España,9.0,Escrito en 15 de diciembre de 2025,Mucho,La manera de reservar como éramos seis fue algo tediosa pero todo genial,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 2 noches', '•Enviado por móvil']"
Fernando,España,9.0,Escrito en 14 de diciembre de 2025,Bien ubicado y muy limpio,Un poco apretado el apartamento,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Gabriel,Argentina,9.0,Escrito en 14 de diciembre de 2025,"La ubicación, el equipamiento y la decoración",Pequeño para 4 personas,"['•Viaje de negocios', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 6 noches']"
Montserrat,España,9.0,Escrito en 11 de diciembre de 2025,La funcionalidad del apartamento,Nada,"['•Pareja', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Benja,España,10.0,Escrito en 9 de diciembre de 2025,Ubicacion muy tranquila y la calidad del apartamento,,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 5 noches', '•Enviado por móvil']"
Carmen,España,9.0,Escrito en 7 de diciembre de 2025,"La estética del apartamento, limpio",El sofá cama era incomodo ⁰,"['•Grupo de amigos', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
Edurne,España,10.0,Escrito en 6 de diciembre de 2025,,"Una pequeña pega, el colchón, por lo demás todo de 10.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Caxarel,España,8.0,Escrito en 3 de diciembre de 2025,estudio comodo con habitacion y cama comfort bien equipado,hacer todo el check in y check out yo mismo a una perdona mayor es imposible tambien 100%vertual si no lees bien como la hora de salida vence el codigo y te quedas fuera,"['•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Yanet,España,9.0,Escrito en 27 de noviembre de 2025,La limpieza y la pulcritud,"Check in complicado
Falta más utensilios en la cocina","['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Hernan,Panamá,10.0,Escrito en 23 de noviembre de 2025,Ubicación y comodidad,Nada,"['•Viaje de ocio', '•Persona que viaja sola', '•Estudio', '•Estancia de 8 noches', '•Enviado por móvil']"
Callupe,Perú,10.0,Escrito en 23 de noviembre de 2025,Equipamiento.,Faltaron algunos implementos de cocina como tazones para preparar ensaladas.,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 3 noches', '•Enviado por móvil']"
Adelina,España,10.0,Escrito en 12 de noviembre de 2025,"Un poco lejos del centro, apartamentl muy bien equipado y nuevo.",El sofa cama a mejorar muy incomodo para niño de 13 años.,"['•Viaje de ocio', '•Grupo de amigos', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches', '•Enviado por móvil']"
Ivette,Estados Unidos,9.0,Escrito en 12 de noviembre de 2025,"Esta super bien ubicada, muy confortable y muy bonitas instalaciones","Que no dejaron suficiente papel del baño, 2 rollos a medias para una estancia de 5 dias, no tienen plancha y como concepto de apartamento o apartahotel podrían dejar lo mínimo para cocinar, sal, pimienta y aceite.","['•Viaje de ocio', '•Persona que viaja sola', '•Estudio', '•Estancia de 5 noches', '•Enviado por móvil']"
Mireia,España,8.0,Escrito en 8 de noviembre de 2025,Todo,Que sea todo con tecnología,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
L,España,9.0,Escrito en 5 de noviembre de 2025,Todo muy limpio,,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 7 noches', '•Enviado por móvil']"
Luis,España,9.0,Escrito en 3 de noviembre de 2025,"El alojamiento en sí y la ubicación, fenomenales","Las plazas de parking son estrechas, si tu coche es grandes, sufres; pero es verdad que es un problema muy común hoy en día vayas donde vayas al fabricarse hoy en día coches más grandes que antes","['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Gimena,Argentina,10.0,Escrito en 26 de octubre de 2025,"Todo es muy lindo, desde la entrada, no hay recepción. El departamento es muy amplio y comodo, te viene un kit de bienvenida, el lavarropas tiene secadora incluida. Todo muy cómodo y funcionando perfectamente.",,"['•Viaje de ocio', '•Grupo de amigos', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Maria,España,10.0,Escrito en 22 de octubre de 2025,"Perfecto, solo nos alojamos una noche porque fuimos a la clínica universitaria. El apartamento se encuentra a 10 minutos andando.",,"['•Pareja', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Ana,España,9.0,Escrito en 19 de octubre de 2025,Comodidad y limpio,Faltaban detergente y trapos de cocina,"['•Grupo de amigos', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
Ricardo,España,8.0,Escrito en 12 de octubre de 2025,"Situación , limpieza , amabilidad del personal",Solamente que Se oía ruido por la noche de la calle : coches y gente hablando . Te despertaba . No buena insonorización,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 2 dormitorios', '•Estancia de 1 noche', '•Enviado por móvil']"
Sofía,Países Bajos,10.0,Escrito en 5 de octubre de 2025,"Súper recomendable! Nos encantó, muy cómodo y bien ubicado",,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
Jannett,España,10.0,Escrito en 2 de octubre de 2025,"Todo perfecto y  la habitación es maravillosa para ir a pasar unos días, además desde recepción necesite su ayuda en una ocasión y fue todo perfecto, repetiría sin duda",Todo perfecto,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 3 noches', '•Enviado por móvil']"
Alejandro,España,8.0,Escrito en 28 de septiembre de 2025,La distribución del apartamento,Parking caro y las zonas cercanas para aparcar son de pago,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche']"
Antonio,España,10.0,Escrito en 24 de septiembre de 2025,"La ubicación está genial, las instalaciones y la limpieza, en fin todo fue muy bueno",,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Maria,España,8.0,Escrito en 31 de mayo de 2025,"El apartamento tiene todo lo necesario para que una pareja esté cómoda. Tiene lavadora-secadora, lavavajillas lo cual es un punto a favor para pasar varios días.
Aire acondicionado.
La ubicación es perfecta, parada de buses cerca, tiendas, restaurantes y al pie de un parque precioso.
También valoro que la habitación esté separada de la cocina, aunque el espacio sea pequeño.
Tiene parking bajo disponibilidad, 15€ diarios que, aunque parezca caro, sumado al coste del apartamento sigue teniendo un precio razonable.","Que no tuviese escoba y recogedor.
Y que el sofá- cama no era muy cómodo.","['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 5 noches', '•Enviado por móvil']"
López,España,10.0,Escrito en 29 de mayo de 2025,El apartamento es acogedor y confortable. Tiene todo lo necesario.,Todo perfecto.,"['•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Maite,España,9.0,Escrito en 25 de mayo de 2025,"La atención del personal tanto vía wathaps,como personal.
Limpieza y estado del apartamento","El sofá cama no era cómodo y menos para dos personas,se hundía en la mitad","['•Viaje de ocio', '•Grupo de amigos', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Manuel,Venezuela,10.0,Escrito en 14 de mayo de 2025,Todo Excelente,Todo Excelente,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 7 noches', '•Enviado por móvil']"
Ana,Perú,8.0,Escrito en 10 de mayo de 2025,"La ubicación, a 10 minutos caminando de la Universidad de Navarra",El cuarto es limpio y bonito pero no para más de 2 personas a pesar de tener un sillón cama. Los espacios son muy pequeños.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 5 noches', '•Enviado por móvil']"
Graziana,España,10.0,Escrito en 6 de mayo de 2025,Todo,El ambientador,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
