username,country,score,date_written,positive,negative,tags
Elena,España,8.0,Escrito en 30 de diciembre de 2025,La situación,Las toallas no secan y el jabón de la ducha complicado para salir,"['•Familia con niños pequeños', '•Habitación Familiar con baño privado', '•Estancia de 4 noches', '•Enviado por móvil']"
Marisa,Argentina,9.0,Escrito en 29 de diciembre de 2025,Buena ubicación y lindo desayuno. Pudimos estar todos juntos que eramos muchos,,"['•Viaje de ocio', '•Grupo', '•Habitación con baño privado - 6 camas', '•Estancia de 1 noche']"
Jon,España,8.0,Escrito en 15 de diciembre de 2025,Comodidad de las camas,Poca presión en la ducha,"['•Familia con niños pequeños', '•Habitación Familiar con baño privado', '•Estancia de 1 noche', '•Enviado por móvil']"
Sosuke,España,8.0,Escrito en 11 de diciembre de 2025,Bien ubicado y tranquilo,,"['•Viaje de ocio', '•Grupo', '•Habitación Familiar con baño privado', '•Estancia de 1 noche', '•Enviado por móvil']"
Agur,España,8.0,Escrito en 11 de diciembre de 2025,,"Que no te dejen entrar hasta las 15 horas y que si te dejan antes, a las 13 horas, hay que pagar 15 euros.","['•Viaje de ocio', '•Familia con niños pequeños', '•Habitación Familiar con baño privado', '•Estancia de 1 noche', '•Enviado por móvil']"
Elena,España,8.0,Escrito en 30 de noviembre de 2025,En general todo bien.,Un poco lejos del centro.,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta con 6 camas y baño compartido', '•Estancia de 1 noche', '•Enviado por móvil']"
Alba,España,8.0,Escrito en 18 de noviembre de 2025,"Fácil check in, buena localización a 20 min andando por el paseo de la concha al centro
Habitación grande cómoda y bien dividida, no se escuchaba mucho ruido y eso que estaba lleno
Buenas zonas comunes en la planta 1
Nuestra habitación tenía unas vistas chulisimas
Buen servicio de cafetería y buen ambiente","No es fácil encontrar aparcamiento si llevas coche y es zona verde (de pago, aunque la mañana de un sábado son solo 4 € mucho más económico que un parking)","['•Viaje de ocio', '•Grupo', '•Habitación Familiar con baño privado', '•Estancia de 2 noches', '•Enviado por móvil']"
Antonio,España,9.0,Escrito en 9 de noviembre de 2025,"Atención del personal
La limpieza",Quizás un poco lejos del centro para ir andando,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta con 6 camas y baño compartido', '•Estancia de 2 noches', '•Enviado por móvil']"
Richard,España,7.0,Escrito en 8 de noviembre de 2025,,"A las 05:00 han llegado un grupo haciendo ruido/ bebidos supuestamente. 
Ya no he vuelto a dormir","['•Viaje de negocios', '•Persona que viaja sola', '•Cama en habitación compartida mixta con 6 camas y baño privado', '•Estancia de 1 noche', '•Enviado por móvil']"
Ana,Guatemala,8.0,Escrito en 6 de noviembre de 2025,Fue simple y practica la reserva y el check in. Es un lugar ordenado y estructurado.,"Para todo aquel que este pensando reservar en este lugar debe saber que este hostal está ubicado encima de una colina y es cansado llegar y salir. Hay transporte urbano cerca pero igual toca subir o bajar la montaña. Pensé que iba a estar en el área comercial y no es así, alrededor hay apartamentos solamente. Al caminar un par de cuadras ya encuentras comercios pero no alrededor inmediato.","['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta con 6 camas y baño compartido', '•Estancia de 4 noches', '•Enviado por móvil']"
