username,country,score,date_written,positive,negative,tags
Lopez,España,10.0,Escrito en 14 de diciembre de 2025,"La situación, limpieza y las instalaciones en general.","La única pega ha sido el sofá cama, un poco incomodo.","['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
B,España,9.0,Escrito en 5 de diciembre de 2025,Ubicación,Terrible el extremo ambientador en la planta baja . Subes a la habitación mareado . Por demás. Acabé con osmofobia y cefalea .,"['•Viaje de negocios', '•Grupo', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Karlosmaiden,España,10.0,Escrito en 16 de noviembre de 2025,"La ubicación es una pasada, lo fácil de llegar al párking y a 5 minutos el apartamento, la cerradura del portal se abre con el móvil, entrar y un olor super agradable, abrir la puerta del apartamento y una pasada de chulo, limpio, todo nuevo, aire acondicionado, lavadora, horno microondas, TV plano, todo super bien, mi hija de 12años y mi sobrina de 15 super contentas, 2 cajas de bienvenida con aguas patatas.... gracias por todo",Me gustó todo,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Els,España,7.0,Escrito en 10 de noviembre de 2025,Diseño y emplazamiento.,"Sofa cama muy incómodo, hundido y con ruido de muelles con cada movimiento. Las habitaciones no tienen paredes, solo separación de ambiente con listones de madera en un espacio diáfano con el sala-cocina.","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Martinez,España,10.0,Escrito en 9 de noviembre de 2025,Ubicación y comodidad de las instalaciones,Nada,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Alejandro,Corea del Sur,10.0,Escrito en 28 de octubre de 2025,,Se escuchaba un goteo por la noche del piso de arriba y la luz roja de la alarma de incendios parpadea y molesta un poco por la noche,"['•Con una mascota', '•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 4 noches', '•Enviado por móvil']"
Alvaro,España,8.0,Escrito en 25 de octubre de 2025,La terraza,Q no tenía cama era sofá cama,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
Her,Argentina,9.0,Escrito en 19 de octubre de 2025,"Super moderno, muy bien ubicado, en frente del museo. Amplio departamento, hermoso","La atención dejo mucho que desear, sobre todo porque no se le discute al huésped cuando no hay nada que discutir. Uno se puede equivocar, se piden disculpas y listo, pero echarle la culpa al huésped de la propia torpeza no va.  Pedí parking tres veces. Me lo cobraron y todo. Cuando llegue, me dijeron que ""creyeron que no lo quería"" porque un dia antes ""pedi indicaciones para el parking pero claramente nunca confirme que lo quería. O sea, pido parking, me lo cobran, pido indicaciones de como ir, en eso me piden que pase la placa que no llegue a leer, y como no la pase horas antes ""creyeron que no quería el parking y solo quería la dirección del mismo para ir a que...?","['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
Sergio,España,9.0,Escrito en 14 de octubre de 2025,Las vistas increíbles,,"['•Viaje de negocios', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Iván,España,10.0,Escrito en 30 de septiembre de 2025,"Es increíble el lugar y la ubicación, muy recomendable",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche']"
Silvia,España,10.0,Escrito en 28 de septiembre de 2025,La ubicación. Justo enfrente del museo Guggenheim. Y un apartamento espectacular 😍. Muy moderno y muy completo.,Nada,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
Rocío,España,9.0,Escrito en 9 de septiembre de 2025,Ubicación,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Carmen,España,10.0,Escrito en 5 de septiembre de 2025,"ubicación, limpieza y no faltaba un detalle",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Pilar,España,9.0,Escrito en 31 de agosto de 2025,"Ubicación excelente, muy cómodo... pudimos adelantar la entrada a las 12 por una suplemento...",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Laura,España,9.0,Escrito en 30 de agosto de 2025,"Me gusto Todo, ubicacion, limpieza, decoracion, menaje, comodidad, bonito, situacion. Muy bien, nos gusto mucho. Original, practico, limpio, moderno. Muy bien situado, se puede ir andando a los principales sitios que hay que ver. Te dejan como detalle al entrar, agua, patatas y un folleto con recomendaciones de sitios para ver y comer.",El ascensor...que era lentiiiiiiisimo,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Eduardo,España,9.0,Escrito en 28 de agosto de 2025,Ubicación y todo nuevo,,"['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
Victorino,España,10.0,Escrito en 25 de agosto de 2025,Todo general,Falta de intimidad en habitación.por poner alguna cosa,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Ana,España,9.0,Escrito en 24 de agosto de 2025,Ubicación y limpieza,,"['•Viaje de ocio', '•Grupo de amigos', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
Seila,España,10.0,Escrito en 1 de agosto de 2025,"Todo, pero la ubicación perfecta 🤩",Nada,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Celia,España,9.0,Escrito en 28 de julio de 2025,"Esta muy bien ubicado, tiene buenas vistas, los apartamentos están muy nuevos y bien decorados, es todo muy práctico y tienen todo lo necesario",Todo estuvo muy bien,"['•Viaje de ocio', '•Grupo', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
Maria,España,8.0,Escrito en 17 de mayo de 2025,"Muy buena ubicación, muy amplio y muy limpio","En general bien dotado pero: no había servilletas ni rollo de cocina, (y poco papel higiénico!).
La ducha y el lavabo no desaguan bien","['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Daniela,España,7.0,Escrito en 5 de mayo de 2025,"La ubicación es estupenda. Justo en frente del Guggenheim y a minutos de la zona del Río y de muchos restaurantes y cafés. Además, el apartamento es muy nuevo y con vistas al Guggenheim. El baño es amplio y muy cómodo.","Los colchones era muy incómodos y el apartamento habría sido perfecto de tamaño para dos, pero éramos dos adultos y dos niños pequeños y se nos ha hecho un poco pequeño. Tampoco nos ha parecido bien el hecho de abonar 15 euros por acceder al apartamento dos horas antes de la hora de check-in estando el apartamento disponible. Tampoco nos dieron facilidades para dejar las maletas.","['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 3 noches', '•Enviado por móvil']"
Alberto,España,7.0,Escrito en 29 de abril de 2025,La ubicación estaba bien,La tostadora no funciona.  El lavavajillas no funciona. Falta mucho menaje de cocina. El sofá cama bastante incómodo.,"['•Familia con niños pequeños', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
Maria,España,7.0,Escrito en 21 de abril de 2025,La ubicación y la decoración del apartamento,"Que se oyen todos los ruidos, está muy mal aislado. Que el baño no estaba muy limpio cuando llegamos.","['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 4 noches', '•Enviado por móvil']"
Carla,España,10.0,Escrito en 1 de junio de 2024,"Muy bien ubicado, al lado del Guggenheim, habitación amplia para 4 personas y cómoda. Muy limpio. Desde nuestra habitación podías ver el museo.",Acceso,"['•Viaje de ocio', '•Grupo', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Fabiola,Países Bajos,10.0,Escrito en 27 de mayo de 2024,"Todo excelente, la atención y el estudio.","Sólo por quejarme, el extractor del baño y la puerta de baño son muy ruidosos.","['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 3 noches', '•Enviado por móvil']"
Ana,España,10.0,Escrito en 21 de mayo de 2024,"Perfecto, muy buena ubicación , limpio y cómodo.",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Julia,España,9.0,Escrito en 18 de mayo de 2024,La ubicación,Había una toalla grande mojada usada en el baño.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Carmen,España,10.0,Escrito en 9 de mayo de 2024,"Una muy buena ubicación , pero en unos apartamentos tranquilos cerca de todo.",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
Judith,España,10.0,Escrito en 24 de abril de 2024,La ubicación la tranquilidad y el buen acceso,Por poner una pega el ascensor demasiado lento agobiaba un poco,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
Sandra,España,9.0,Escrito en 8 de abril de 2024,"Ubicación, limpieza y confort","El laborioso check in.Debería haber un cartel con las normas y horario check out en el apartamento","['•Viaje de ocio', '•Grupo', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
Maria,España,10.0,Escrito en 8 de abril de 2024,Lo que más me gustó fue la ubicación del apartamento y sus vistas al museo.La  limpieza y muy coqueto el apartamento.,"Por decir algo, las almohadas eran muy bajitas, tenía poco relleno. Me hubiera gustado que hubiera alguna almohada un poco más compacta. Por lo demás genial todo.","['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Ana,España,10.0,Escrito en 5 de abril de 2024,El  apartamento es ideal muy chulo y limpio. La ubicación excelente para ver la ciudad.,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 2 noches', '•Enviado por móvil']"
David,España,10.0,Escrito en 30 de marzo de 2024,"Ubicación, limpieza y comodidad, perfecto para pasar unos días cerca del centro de bilbao pero alejado del bullicio. 
Destacar que hubo un problema con el lavavajillas y rápidamente un empleado se puso en contacto conmigo para subsanar el problema.",,"['•Viaje de ocio', '•Grupo de amigos', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
Paulacc,España,10.0,Escrito en 27 de marzo de 2024,"La ubicación es inmejorable. El apartamento tiene todo lo indispensable para pasar unos días estupendos. Está bien equipado y con muchos detalles. La decoración es muy funcional y está puesto todo, con mucho gusto.","Por decir algo, mi hijo se quejó del colchón del sofá cama, cosa bastante habitual en este tipo de colchones que son más finos de lo normal.","['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 3 noches', '•Enviado por móvil']"
Melquiades,España,10.0,Escrito en 9 de marzo de 2024,"Bien situado, agradable, decoración funcional y bonita, practico",Me gustó todo,"['•Viaje de ocio', '•Grupo', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
